일자,요일,city,교통량
20170125,수,노원구,1674.3509178
20170125,수,도봉구,1197.629939
20170125,수,동대문구,2725.583333
20170125,수,동작구,3653.7083334999998
20170125,수,마포구,3046.82291675
20170125,수,서대문구,1390.85542665
20170125,수,서초구,2367.35238957
20170125,수,성동구,1865.8148026
20170125,수,성북구,1755.6400184400002
20170125,수,송파구,1609.4885085399999
20170125,수,양천구,2127.751185
20170125,수,영등포구,1888.128393875
20170125,수,용산구,1928.0357142285716
20170125,수,은평구,1182.0485904333334
20170125,수,종로구,1081.38939133
20170125,수,중구,1011.2377763483333
20170125,수,중랑구,1738.5423065
20170126,목,강남구,2175.3986855555554
20170126,목,강동구,1697.8472222333332
20170126,목,강서구,1180.3732163749999
20170126,목,관악구,1346.49009
20170126,목,광진구,1673.27847795
20170126,목,구로구,748.28994936
20170126,목,금천구,1336.152848725
20170126,목,노원구,1669.1362048000003
20170126,목,도봉구,1214.8319780000002
20170126,목,동대문구,2730.0
20170126,목,동작구,3413.5625
20170126,목,마포구,2971.15625025
20170126,목,서대문구,1400.562502875
20170126,목,서초구,2307.0254474000003
20170126,목,성동구,1813.0665328000002
20170126,목,성북구,1748.1668689000003
20170126,목,송파구,1594.82787166
20170126,목,양천구,2136.101299425
20170126,목,영등포구,1843.7980828749999
20170126,목,용산구,1815.1488094285712
20170126,목,은평구,1234.9778339333334
20170126,목,종로구,1084.81436317
20170126,목,중구,992.7038002633335
20170126,목,중랑구,1715.765357
20170127,금,강남구,1670.4783222555557
20170127,금,강동구,1274.8194444333333
20170127,금,강서구,904.828854325
20170127,금,관악구,1064.68749985
20170127,금,광진구,1176.4638857
20170127,금,구로구,645.4568066200001
20170127,금,금천구,1325.8655568749998
20170127,금,노원구,1551.31747846
20170127,금,도봉구,1112.16619885
20170127,금,동대문구,2715.041667
20170127,금,동작구,2922.4375
20170127,금,마포구,2519.7916665000002
20170127,금,서대문구,1230.120471275
20170127,금,서초구,1905.5327677999999
20170127,금,성동구,1393.63155194
20170127,금,성북구,1463.89528894
20170127,금,송파구,1291.6579058000002
20170127,금,양천구,2132.6620125749996
20170127,금,영등포구,1506.658556375
20170127,금,용산구,1465.7678570857145
20170127,금,은평구,1186.8911715000002
20170127,금,종로구,932.57630568
20170127,금,중구,836.2651709566666
20170127,금,중랑구,1517.5778085
20170128,토,강남구,1723.1225245666667
20170128,토,강동구,1734.0277777666668
20170128,토,강서구,997.3740364249998
20170128,토,관악구,1211.7549924
20170128,토,광진구,1184.4777003999998
20170128,토,구로구,671.6790368999999
20170128,토,금천구,1274.628824075
20170128,토,노원구,1563.1253092
20170128,토,도봉구,1067.1819363500001
20170128,토,동대문구,2936.458333
20170128,토,동작구,3367.7291665000002
20170128,토,마포구,2639.875
20170128,토,서대문구,1258.8501327
20170128,토,서초구,2143.12103927
20170128,토,성동구,1525.9346974
20170128,토,성북구,1408.99879072
20170128,토,송파구,1387.7395948600001
20170128,토,양천구,2063.8756766750002
20170128,토,영등포구,1565.332809625
20170128,토,용산구,1646.4464286142859
20170128,토,은평구,1185.4484593
20170128,토,종로구,968.0786657100003
20170128,토,중구,751.4821449466667
20170128,토,중랑구,1660.3600465
20170129,일,강남구,1474.0914849000003
