"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"19777",120,17,0.015,0.034,0.4,0.003,4.6,-0.1,11.2,0,4.5,0.8,292.5,146,99,6,28,8,12,91,62,22,14,7,5,158,181,32,25,6,9.29,188,85,51,47,3,11,94,49,9,25,19,6,165,84,26.03,24,8,15,3779.541667
"28797",38,0.003,26,0.019,0.032,0.6,-2.15442222222222,-4.4150119047619,2.94586086956522,0.0162499999999921,7.47539471500722,1.607075,238.248916666667,116,54,9,27,7,11,75,59,15,28,22,10,167,127,17,46,17,11.04,93,61,28,18,7,7,154,70,11,27,27,14,120,75,17.96,33,9,10,562.023099619755
"1135",11,7,0.018,0.02,0.3,0.002,24.1,20.9,28.2,33.5,9.1,1.3,250.3,82,17,38,12,1,2,124,52,52,12,6,10,88,95,74,20,5,7.31,126,53,95,15,4,8,90,24,19,17,5,4,100,27,45.61,13,2,7,1748.761905
"2369",17,9,0.016,0.022,0.5,0.005,8.7,4.5,12.4,0,6.6,1.5,19.7,83,55,22,29,3,9,59,50,29,24,10,11,74,85,48,50,18,10.25,74,17,34,9,2,3,122,74,12,36,32,15,120,92,29.53,30,7,13,1860.604167
"7155",31,27,0.024,0.027,0.4,0.003,3.2,-0.5,8.4,5.5,5.8,1.5,334.7,107,81,36,31,8,10,74,46,48,15,12,10,95,36,28,9,4,5.25,111,44,30,21,4,5,121,63,22,33,34,13,140,72,28.31,26,10,10,1282.270833
"8676",35,19,0.012,0.029,0.4,0.005,17.9,15.2,21,4,6.8,1.2,255.9,109,38,11,18,2,4,47,48,32,9,8,8,10,38,41,7,4,5,63,37,40,17,4,7,57,34,16,16,5,6,104.82,46.66,46.96,17.08,5.39,7.94,2754.875
"2831",19,8,0.022,0.017,0.5,0.005,17.8,14.3,21.9,0,6.7,1.7,261.6,38,35,30,16,1,3,29,34,61,11,5,9,68,61,62,31,8,7,103,39,43,14,3,3,107,49,23,24,13,9,82,70,48.58,23,4,7,1654.1875
"25750",74,0.005,40,0.047,0.03,0.5,15.3,5.4,26.3,0,4.7,0.7,289.7,140,74,105,20,3,9,147,55,57,10,4,4,98,43,53,7,1,5.41,116,57,118,19,3,5,160,67,74,16,21,8,132,77,74.84,31,7,11,1137.48611111111
"13240",48,28,0.045,0.024,0.5,0.002,27.7,25,32.2,0,5.2,1.4,137.8,153,60,100,11,2,6,117,55,85,5,1,9,132,66,91,11,4,6,101,55,118,21,4,6,126,44,68,10,4,4,117,51,92,8,4,5,1898.208008
"22914",21,0.003,13,0.028,0.016,0.4,23,18,30,0,3.2,0.5,16.9,68,54,104,16,1,4,50,18,57,7,3,6,42,30,58,11,2,4,65,16,31,16,2,5,77,42,71,13,12,7,96,63,90.83,24,6,8,3536.4375
